date,trial,condition,average_length,average_mass,turbidity_reading_FNU,flow,angle_stdev_side,nn_mean_side,nn_stdev_side,spacing_mean_side,spacing_stdev_side,school_area_side,angle_stdev_top,nn_mean_top,nn_stdev_top,spacing_mean_top,spacing_stdev_top,school_area_top,angle_stdev_3d,nn_mean_3d,nn_stdev_3d,spacing_mean_3d,spacing_stdev_3d,school_volume_3d_cm
Feb_13 ,8,sediment,7.540003696,5.0483,4.246,20,7.725570342,4.843458314,2.325142755,9.896918013,4.814390838,551.7299663,10.22176879,4.311209721,2.548632896,8.818107293,4.422212087,468.1642245,11.86398259,6.514655003,2.639022628,11.43811433,4.741687373,8096.605364
Feb_13 ,8,sediment,7.540003696,5.0483,4.246,30,8.502295839,8.023235446,6.002698714,20.52412583,12.67652555,3095.592086,10.49279825,7.150677941,5.476355652,18.06184318,11.70735764,1769.708992,9.983114906,9.433864889,6.106743453,20.72489669,11.88237325,69558.63232
Feb_13 ,8,sediment,7.540003696,5.0483,4.246,40,7.016154483,8.437998542,10.40840617,19.27593447,15.83072377,2681.536849,8.689371925,8.596219505,10.29798379,18.55193084,15.12070169,3257.965822,7.167485784,10.28264668,10.57591736,20.78634691,15.68874703,121107.2059
Feb_13 ,8,sediment,7.540003696,5.0483,4.246,50,8.385361434,7.018077156,5.688896035,15.41456855,9.572437,1627.71215,8.074248768,6.02639441,4.954601607,14.75607739,9.377388322,1039.587042,6.496587022,9.335730822,5.880861592,18.49743794,10.09749051,32679.82659
Feb_13 ,8,sediment,7.540003696,5.0483,4.246,60,7.243085788,7.44892483,5.281771377,20.24642894,12.52201558,2373.887243,7.920466777,7.043470626,5.726075459,20.12416716,13.3601922,1742.925801,6.716199195,10.70095633,7.606362891,24.48661926,13.42420011,73268.89657
Jan_21,2,no sediment,7.870910084,5.22,0.312,20,9.50464192,4.972164176,3.114628096,11.15205405,6.515723658,790.9915397,9.860564809,5.004492824,3.329166001,11.34850584,6.80064342,614.0822385,9.821624507,7.28553894,3.810974864,14.07159962,7.150778159,11423.04695
Jan_21,2,no sediment,7.870910084,5.22,0.312,30,8.368850126,7.294667687,5.33286043,15.26212127,8.907075822,1538.909959,10.22832761,6.731322885,4.676130928,13.59826505,7.494006046,1114.251666,8.324051609,9.270640713,5.071898045,16.56357564,7.685125721,30991.51625
Jan_21,2,no sediment,7.870910084,5.22,0.312,40,7.253443837,7.033197526,4.118729763,20.89695312,12.59266689,2303.053423,8.582600759,7.751617578,4.52379201,21.23185673,12.76172246,1917.074077,7.538873354,10.65644144,4.890502194,25.49710806,13.8968159,71077.59792
Jan_21,2,no sediment,7.870910084,5.22,0.312,50,8.722257453,11.90706471,12.39011169,26.65472938,18.48810314,4858.422508,10.21149166,10.72616343,11.78024576,25.62516306,18.47672894,3737.372525,8.389965211,16.63390745,14.47018481,33.56196816,20.43679389,203626.6667
Jan_21,2,no sediment,7.870910084,5.22,0.312,60,8.361334188,7.334821411,5.47778267,28.2104286,19.03060737,1992.570472,6.259237111,4.636069225,4.806581244,13.44228598,8.764188106,1020.785063,8.548805489,12.31797947,8.098923351,32.44491461,17.90227099,72577.75564
Jan_21,1,no sediment,8.014102971,5.3183333,0.312,20,10.84808201,6.421984782,7.531141915,13.51801838,10.57752217,1625.422096,12.43072957,6.465246901,7.484482618,13.99904585,11.21207394,1446.59886,12.75034373,8.097421839,7.437333115,16.00126049,11.06507312,44247.28034
Jan_21,1,no sediment,8.014102971,5.3183333,0.312,30,11.85737827,5.734781472,3.681641078,21.58251843,14.56785319,2510.49171,14.02542982,5.626141162,3.30022441,20.60397759,13.67712663,2802.617687,10.07289821,8.733628974,4.190196606,25.89287966,15.60632985,92543.25734
Jan_21,1,no sediment,8.014102971,5.3183333,0.312,40,9.989571188,6.392815961,3.474231428,15.09361688,8.296742784,1356.215164,9.538908226,5.917490498,3.197124904,14.69553222,8.340979221,1096.687298,9.016790809,8.660669052,3.600937756,18.01629459,8.75841335,31101.7297
Jan_21,1,no sediment,8.014102971,5.3183333,0.312,50,8.465931563,9.004530384,8.701619953,20.50370407,14.2087715,3664.197206,7.179090719,8.264330874,9.74900613,21.18215778,15.17354832,2825.692174,8.754214898,12.6502373,11.18918093,26.15069563,15.54353771,141790.4107
Jan_21,1,no sediment,8.014102971,5.3183333,0.312,60,9.022306044,8.640644759,7.189107937,25.52832512,17.21545894,2581.194997,6.603480919,5.74279941,5.563143542,18.05536483,11.73564167,1775.897654,7.997160024,12.77422921,11.05969392,31.40508268,17.96398783,93651.1053
Jan_31,5,sediment,8.247289112,6.46166667,4.37,20,18.11396323,13.83715466,22.3866797,30.48929488,29.54397951,5198.27848,16.6706314,13.07230706,21.28541835,29.30683687,28.64385605,4497.820946,15.89966172,15.58515163,21.29771494,32.63792306,28.18825446,136552.3745
Jan_31,5,sediment,8.247289112,6.46166667,4.37,30,9.013816362,4.71829171,3.90645051,11.3334559,7.303920778,818.313883,12.11198213,5.14838073,3.73950892,11.47304817,6.952430463,777.9182434,10.18351257,6.683790842,4.140496399,13.27760846,7.167908754,17228.20247
Jan_31,5,sediment,8.247289112,6.46166667,4.37,40,10.23178653,6.632306125,4.040573131,15.84965512,8.80241505,1461.090831,8.717742385,6.077058955,4.442137098,14.20743364,8.408519596,1012.243817,9.046992212,9.145922144,4.978056034,18.6582701,9.456066241,33662.9773
Jan_31,5,sediment,8.247289112,6.46166667,4.37,50,6.194954167,8.880941323,8.082301574,22.22708232,15.52583193,3760.865855,6.634453109,8.966085742,8.439099844,22.63923257,15.09674278,3613.295568,4.94722685,12.19032651,9.325212224,27.27815429,16.77873056,178264.8134
Jan_31,5,sediment,8.247289112,6.46166667,4.37,60,7.555465493,5.962249954,3.342591963,15.01862011,8.522565728,1447.141274,7.085846003,5.201110289,3.614196613,15.79821984,10.00331912,974.0043825,6.181384912,7.500983184,4.034798693,18.29401965,10.02472224,31720.55369
Jan_24,4,no sediment,7.451770531,5.45333333,0.352,20,6.936787338,4.447571469,2.333560522,9.754133161,5.058861597,651.920474,11.97811326,5.023312787,2.484744127,10.60138859,5.416787395,715.050113,7.808251199,6.665111141,2.550333388,12.36091242,5.40711107,13483.43739
