id,pop,acc,fam,sex,bodymass,cox,hoad,cs,ldh,hk,pk
ln_f1_249_1e,ln,hx,f,f,19.98,25.142,32.393,49.364,454.599,4.625,98.941
ln_f1_249_2f,ln,hx,f,f,20.47,41.651,50.218,69.183,434.652,5.081,117.220
ln_f1_242_2b,ln,hx,a,m,17.94,29.278,39.766,65.479,393.095,6.331,144.068
ln_f1_242_3c,ln,hx,a,m,19.23,30.032,41.122,46.177,321.803,4.757,116.688
ln_f1_250_l,ln,hx,g,m,19.3,26.527,43.635,59.024,391.345,5.022,125.349
ln_f1_250_o,ln,hx,g,f,14.04,26.561,31.746,39.388,483.848,4.650,103.046
ln_f1_250_m,ln,hx,g,f,14.05,28.896,44.258,57.791,631.879,5.671,116.112
me_f1_244_a,me,hx,b,f,20.18,26.004,47.956,58.741,462.619,6.266,91.957
me_f1_247_h,me,hx,e,f,17.17,26.828,50.424,24.645,397.010,6.092,67.801
me_f1_247_g,me,hx,e,f,19.14,29.095,48.759,38.457,367.916,5.519,107.981
me_f1_246_e,me,hx,d,m,23.46,27.670,47.280,56.559,273.473,5.332,94.155
me_f1_246_f,me,hx,d,m,21.19,34.327,36.577,50.084,287.149,5.723,88.828
me_f1_245_h,me,hx,c,m,24.55,16.446,12.143,44.480,118.184,2.111,28.535
me_f1_245_i,me,hx,c,m,23.62,26.017,43.638,50.364,359.376,8.007,102.015
ln_f1_250_x,ln,nx,g,m,26.99,27.494,42.081,45.580,362.970,5.562,105.523
ln_f1_250_y,ln,nx,g,m,18.8,28.386,50.330,72.936,385.975,6.555,93.350
ln_f1_250_z,ln,nx,g,m,18.55,27.678,40.603,57.041,578.161,5.767,131.890
ln_f1_250_al,ln,nx,g,f,19.78,19.796,30.278,33.542,343.500,4.667,111.363
ln_f1_250_ab,ln,nx,g,f,14.8,34.725,36.744,45.460,394.498,5.623,100.125
me_f1_247_u,me,nx,e,m,22.05,40.127,45.670,64.237,370.029,5.945,101.435
me_f1_247_v,me,nx,e,m,19.8,38.134,44.737,52.544,312.960,5.707,93.304
me_f1_245_n,me,nx,c,f,26.52,36.825,68.349,72.096,312.484,8.894,108.875
me_f1_246_q,me,nx,d,f,17.89,48.222,64.818,68.673,471.194,7.896,124.721
me_f1_246_r,me,nx,d,f,18.37,23.958,49.816,55.605,366.227,5.264,112.452
