id,pop,acc,fam,sex,bodymass,cox,hoad,cs,ldh,hk,pk
ln_f1_249_1e,ln,hx,f,f,19.98,29.535,48.269,44.645,647.764,4.199,172.653
ln_f1_249_2f,ln,hx,f,f,20.47,29.314,56.030,71.592,767.836,6.954,192.717
ln_f1_242_2b,ln,hx,a,m,17.94,30.227,60.087,32.753,681.006,4.465,199.839
ln_f1_242_3c,ln,hx,a,m,19.23,28.145,37.962,22.037,737.357,5.549,117.957
ln_f1_250_l,ln,hx,g,m,19.3,29.189,48.298,56.108,635.118,5.078,145.333
ln_f1_250_o,ln,hx,g,f,14.04,10.037,34.881,28.687,622.490,4.762,192.227
ln_f1_250_m,ln,hx,g,f,14.05,10.438,37.121,27.644,712.897,4.680,91.063
me_f1_244_a,me,hx,b,f,20.18,23.845,57.051,38.075,673.704,8.020,115.627
me_f1_247_h,me,hx,e,f,17.17,16.869,53.352,35.700,636.391,4.485,156.222
me_f1_247_g,me,hx,e,f,19.14,11.539,43.212,38.115,596.662,4.973,142.687
me_f1_246_e,me,hx,d,m,23.46,34.013,60.938,62.229,589.646,5.469,138.891
me_f1_246_f,me,hx,d,m,21.19,27.748,58.463,55.822,623.408,8.212,175.111
me_f1_245_h,me,hx,c,m,24.55,21.695,49.624,51.762,682.911,7.611,165.527
me_f1_245_i,me,hx,c,m,23.62,28.847,60.820,35.962,474.814,6.087,105.586
ln_f1_250_x,ln,nx,g,m,26.99,15.789,44.014,51.110,732.567,3.710,124.268
ln_f1_250_y,ln,nx,g,m,18.8,23.005,55.200,56.460,629.514,4.531,151.742
ln_f1_250_z,ln,nx,g,m,18.55,12.503,33.750,34.730,649.834,4.564,107.550
ln_f1_250_al,ln,nx,g,f,19.78,14.431,39.682,30.180,811.610,4.282,186.169
ln_f1_250_ab,ln,nx,g,f,14.8,20.908,83.290,31.718,799.796,5.236,206.187
me_f1_247_u,me,nx,e,m,22.05,30.690,50.697,53.790,682.487,6.208,216.728
me_f1_247_v,me,nx,e,m,19.8,35.597,50.394,51.156,644.793,5.703,128.532
me_f1_245_n,me,nx,c,f,26.52,45.237,55.519,54.170,509.382,7.301,138.534
me_f1_246_q,me,nx,d,f,17.89,22.234,45.049,35.066,734.325,5.380,98.007
me_f1_246_r,me,nx,d,f,18.37,12.702,39.482,34.960,710.420,4.711,142.191
