id,pop,acc,fam,sex,bodymass,cox,hoad,cs,ldh,hk,pk
ln_f1_249_1e,ln,hx,f,f,19.980,40.696,117.391,34.831,434.487,13.126,84.576
ln_f1_249_2f,ln,hx,f,f,20.470,55.354,121.529,30.492,284.854,13.000,62.327
ln_f1_242_2b,ln,hx,a,m,17.940,53.838,87.612,25.285,343.933,12.296,78.532
ln_f1_242_3c,ln,hx,a,m,19.230,80.550,140.285,28.251,293.602,12.969,79.000
ln_f1_250_l,ln,hx,g,m,19.300,82.632,134.948,37.199,460.575,12.362,88.824
ln_f1_250_o,ln,hx,g,f,14.040,56.083,78.067,23.689,401.453,9.486,80.687
ln_f1_250_m,ln,hx,g,f,14.050,58.754,129.292,29.946,473.662,12.199,103.821
me_f1_244_a,me,hx,b,f,20.180,76.677,182.631,34.072,426.493,15.639,82.811
me_f1_247_h,me,hx,e,f,17.170,90.417,123.045,27.881,345.405,15.783,60.770
me_f1_247_g,me,hx,e,f,19.140,85.121,149.789,31.850,313.436,14.821,73.225
me_f1_246_e,me,hx,d,m,23.460,80.869,157.305,38.697,417.199,13.523,83.781
me_f1_246_f,me,hx,d,m,21.190,66.070,117.837,35.085,447.211,13.821,72.584
me_f1_245_h,me,hx,c,m,24.550,63.360,179.086,31.008,392.514,13.988,96.303
me_f1_245_i,me,hx,c,m,23.620,71.727,137.852,35.674,331.972,13.914,52.968
ln_f1_250_x,ln,nx,g,m,26.990,46.576,123.985,25.854,341.967,8.985,61.288
ln_f1_250_y,ln,nx,g,m,18.800,86.853,131.754,27.279,374.031,13.762,94.668
ln_f1_250_z,ln,nx,g,m,18.550,67.032,112.474,30.016,362.408,11.599,89.651
ln_f1_250_al,ln,nx,g,f,19.780,45.878,92.029,30.916,378.431,10.102,72.279
ln_f1_250_ab,ln,nx,g,f,14.800,46.421,100.090,36.498,491.747,11.929,83.095
me_f1_247_u,me,nx,e,m,22.050,84.267,103.719,27.610,254.825,12.259,64.592
me_f1_247_v,me,nx,e,m,19.800,87.969,154.538,31.217,289.704,14.160,66.017
me_f1_245_n,me,nx,c,f,26.520,101.728,147.509,37.442,322.843,17.824,84.080
me_f1_246_q,me,nx,d,f,17.890,60.630,133.965,38.336,431.516,15.377,89.913
me_f1_246_r,me,nx,d,f,18.370,83.942,118.929,31.288,343.673,11.020,74.169
