id,pop,acc,fam,sex,bodymass,cox,hoad,cs,ldh,hk,pk
ln_f1_249_1e,ln,hx,f,f,19.98,26.128068,23.216704,,,17.66045867,
ln_f1_249_2f,ln,hx,f,f,20.47,19.307488,12.654208,13.53785667,105.650944,36.65476267,80.03505067
ln_f1_242_2b,ln,hx,a,m,17.94,99.31482933,14.577024,,,23.86197333,
ln_f1_242_3c,ln,hx,a,m,19.23,53.38297333,10.09045333,2.896725,26.692064,24.88401067,30.505216
ln_f1_250_l,ln,hx,g,m,19.3,16.043252,5.8464,20.81383567,194.5053973,14.706944,132.1243093
ln_f1_250_o,ln,hx,g,f,14.04,33.028056,13.732544,4.674373333,49.10759467,29.8816,106.1359787
ln_f1_250_m,ln,hx,g,f,14.05,8.438045333,8.167637333,6.511441667,62.37892267,38.30907733,79.16891733
me_f1_244_a,me,hx,b,f,20.18,28.94610667,12.056576,8.567373667,72.98689067,26.07927467,58.412032
me_f1_247_h,me,hx,e,f,17.17,12.608856,6.288128,1.15869,25.808608,23.60213333,60.66397867
me_f1_247_g,me,hx,e,f,19.14,21.43070667,30.22805333,1.8256795,11.199104,25.99266133,76.87799467
me_f1_246_e,me,hx,d,m,23.46,35.25148,27.620992,25.73282133,170.9054293,6.56096,78.64490667
me_f1_246_f,me,hx,d,m,21.19,40.22866,8.877866667,2.0797,61.41968,35.69335467,50.07982933
me_f1_245_h,me,hx,c,m,24.55,32.89949067,12.550272,13.93399,192.0390827,20.358464,74.44416
me_f1_245_i,me,hx,c,m,23.62,19.772592,6.36608,10.125168,65.973376,15.59906133,93.776256
ln_f1_250_x,ln,nx,g,m,26.99,29.823376,30.12411733,1.764774,20.59232,7.899136,83.772416
ln_f1_250_y,ln,nx,g,m,18.8,8.948525333,18.877376,28.59221077,113.97232,6.036949333,119.5177387
ln_f1_250_z,ln,nx,g,m,18.55,36.69784,8.05504,15.50862,189.0617493,23.92260267,120.422848
ln_f1_250_al,ln,nx,g,f,19.78,29.73546,15.356544,3.558267667,39.73386667,35.58075733,85.058624
ln_f1_250_ab,ln,nx,g,f,14.8,16.85529333,5.703488,3.517664,170.5308267,11.56288,158.3291733
me_f1_247_u,me,nx,e,m,22.05,91.597128,11.6928,6.157892667,59.16989867,19.26280533,106.651328
me_f1_247_v,me,nx,e,m,19.8,11.54630133,17.643136,4.747658,65.083424,20.52736,104.832448
me_f1_245_n,me,nx,c,f,26.52,30.75736533,21.40215467,5.827121333,51.80993067,12.48098133,47.63733333
me_f1_246_q,me,nx,d,f,17.89,,,,,,
me_f1_246_r,me,nx,d,f,18.37,26.62625867,10.71406933,3.175999,33.594064,13.05696,31.34536533
