id,pop,acc,fam,sex,bodymass,cox,hoad,cs,ldh,hk,pk
ln_f1_249_1e,ln,hx,f,f,19.98,,19.929,20.449393,210.158592,,95.62112
ln_f1_249_2f,ln,hx,f,f,20.47,24.88684533,20.95176533,18.07160267,224.254912,10.48670933,89.28535467
ln_f1_242_2b,ln,hx,a,m,17.94,29.017952,31.06820267,18.96488333,225.4133653,15.79394133,131.2235307
ln_f1_242_3c,ln,hx,a,m,19.23,25.07024,29.48317867,10.52526267,403.4557333,7.467152,219.837632
ln_f1_250_l,ln,hx,g,m,19.3,32.928796,40.392128,19.71753667,382.2809387,10.796352,161.9885867
ln_f1_250_o,ln,hx,g,f,14.04,26.00990133,17.487232,6.154921667,183.0464533,18.890368,131.15424
ln_f1_250_m,ln,hx,g,f,14.05,40.35628,18.006912,11.450234,346.7088427,6.978869333,131.7042347
me_f1_244_a,me,hx,b,f,20.18,40.80058667,37.22641067,10.10932267,482.328,28.63653333,168.0818347
me_f1_247_h,me,hx,e,f,17.17,18.67600533,15.97149867,13.53983733,298.1512427,18.130336,117.369728
me_f1_247_g,me,hx,e,f,19.14,32.77092533,24.009216,12.243491,353.908576,8.262912,187.5828267
me_f1_246_e,me,hx,d,m,23.46,,50.227072,8.891212667,120.3600533,,89.27669333
me_f1_246_f,me,hx,d,m,21.19,47.09083467,19.202176,6.249993667,123.2529387,3.600949333,105.391104
me_f1_245_h,me,hx,c,m,24.55,,53.22389333,20.624682,313.9603413,,121.3885867
me_f1_245_i,me,hx,c,m,23.62,48.107068,31.596544,16.60095767,281.6882133,16.24216533,103.5938773
ln_f1_250_x,ln,nx,g,m,26.99,18.434,24.282048,11.13035633,158.2079147,17.13428267,94.22664533
ln_f1_250_y,ln,nx,g,m,18.8,23.30435733,34.065024,7.279940333,314.3327787,11.23374933,191.8571947
ln_f1_250_z,ln,nx,g,m,18.55,12.674084,11.861696,8.169259667,439.9307733,9.8252,94.91089067
ln_f1_250_al,ln,nx,g,f,19.78,16.882708,9.466837333,4.7639985,158.4222827,12.167008,128.5211947
ln_f1_250_ab,ln,nx,g,f,14.8,12.410336,13.12192,11.98006233,432.7137173,15.26993067,166.375552
me_f1_247_u,me,nx,e,m,22.05,13.635488,18.539584,8.064284333,245.847616,10.007088,105.1139413
me_f1_247_v,me,nx,e,m,19.8,28.1161,37.040192,11.0862865,148.04384,,80.80157867
me_f1_245_n,me,nx,c,f,26.52,42.905844,29.87293867,14.81835767,173.884928,10.29616,81.830112
me_f1_246_q,me,nx,d,f,17.89,37.07297,17.314,2.296583,90.77293867,,71.12253867
me_f1_246_r,me,nx,d,f,18.37,67.854136,32.441024,9.544832667,216.0742827,10.12509867,102.3293227
