id,pop,acc,fam,sex,bodymass,cox,hoad,cs,ldh,hk,pk
ln_f1_249_1e,ln,hx,f,f,19.98,51.541,44.114,18.925,545.898,6.231,176.786
ln_f1_249_2f,ln,hx,f,f,20.47,78.079,38.357,21.348,530.307,4.622,153.165
ln_f1_242_2b,ln,hx,a,m,17.94,43.251,24.903,11.333,495.757,4.560,165.711
ln_f1_242_3c,ln,hx,a,m,19.23,32.220,26.278,25.148,392.454,6.647,131.076
ln_f1_250_l,ln,hx,g,m,19.3,59.324,41.659,36.907,575.442,5.769,169.039
ln_f1_250_o,ln,hx,g,f,14.04,31.572,21.686,12.631,574.991,3.650,123.955
ln_f1_250_m,ln,hx,g,f,14.05,30.451,16.474,12.770,524.721,3.277,157.249
me_f1_244_a,me,hx,b,f,20.18,40.880,33.874,33.899,553.806,6.613,144.159
me_f1_247_h,me,hx,e,f,17.17,50.803,23.868,31.733,453.542,4.278,150.324
me_f1_247_g,me,hx,e,f,19.14,40.739,31.298,23.021,434.054,5.076,132.228
me_f1_246_e,me,hx,d,m,23.46,75.679,53.401,56.915,570.305,6.726,164.758
me_f1_246_f,me,hx,d,m,21.19,53.491,41.260,32.506,600.074,5.965,158.065
me_f1_245_h,me,hx,c,m,24.55,40.594,45.009,25.819,351.546,6.601,189.800
me_f1_245_i,me,hx,c,m,23.62,35.225,40.492,39.942,440.472,7.133,111.255
ln_f1_250_x,ln,nx,g,m,26.99,51.384,36.551,26.032,588.910,5.210,134.394
ln_f1_250_y,ln,nx,g,m,18.8,30.729,34.509,20.860,550.047,5.308,147.483
ln_f1_250_z,ln,nx,g,m,18.55,33.213,22.335,19.083,483.943,3.509,179.192
ln_f1_250_al,ln,nx,g,f,19.78,27.513,29.158,20.429,544.694,7.576,176.245
ln_f1_250_ab,ln,nx,g,f,14.8,40.439,28.156,16.692,722.373,4.600,146.037
me_f1_247_u,me,nx,e,m,22.05,63.940,33.489,26.606,496.173,5.053,175.054
me_f1_247_v,me,nx,e,m,19.8,51.196,30.068,35.366,582.189,5.327,158.790
me_f1_245_n,me,nx,c,f,26.52,41.995,39.879,35.730,443.036,6.685,138.534
me_f1_246_q,me,nx,d,f,17.89,38.285,54.625,28.920,423.860,4.916,134.827
me_f1_246_r,me,nx,d,f,18.37,38.581,20.112,36.824,430.217,2.842,134.684
