id,pop,acc,fam,sex,bodymass,cox,hoad,cs,ldh,hk,pk
ln_f1_249_1e,ln,hx,f,f,19.98,25.933,25.226,33.571,647.643,3.221,171.154
ln_f1_249_2f,ln,hx,f,f,20.47,17.721,35.212,45.503,796.661,5.334,177.796
ln_f1_242_2b,ln,hx,a,m,17.94,25.862,28.949,31.242,672.414,3.172,138.341
ln_f1_242_3c,ln,hx,a,m,19.23,13.002,32.187,28.543,753.302,3.324,165.096
ln_f1_250_l,ln,hx,g,m,19.3,35.709,39.794,40.843,748.322,5.165,136.899
ln_f1_250_o,ln,hx,g,f,14.04,9.456,23.323,23.565,819.033,2.861,151.093
ln_f1_250_m,ln,hx,g,f,14.05,12.473,28.297,28.710,863.561,3.529,197.591
me_f1_244_a,me,hx,b,f,20.18,26.377,51.684,39.046,589.386,5.725,128.396
me_f1_247_h,me,hx,e,f,17.17,27.565,59.621,44.377,798.436,6.081,153.403
me_f1_247_g,me,hx,e,f,19.14,30.958,46.248,35.167,498.364,4.062,127.164
me_f1_246_e,me,hx,d,m,23.46,50.839,72.868,61.135,648.344,5.640,134.939
me_f1_246_f,me,hx,d,m,21.19,44.802,66.231,60.264,763.574,6.143,173.439
me_f1_245_h,me,hx,c,m,24.55,37.867,63.124,51.364,754.411,5.308,151.298
me_f1_245_i,me,hx,c,m,23.62,14.981,48.945,37.325,451.247,4.824,124.264
ln_f1_250_x,ln,nx,g,m,26.99,20.611,60.228,46.567,718.120,5.095,127.945
ln_f1_250_y,ln,nx,g,m,18.8,36.638,65.581,64.837,694.180,7.052,159.563
ln_f1_250_z,ln,nx,g,m,18.55,21.688,32.813,38.779,811.861,4.203,184.164
ln_f1_250_al,ln,nx,g,f,19.78,26.648,22.134,31.614,890.740,3.459,131.366
ln_f1_250_ab,ln,nx,g,f,14.8,24.784,24.378,25.409,776.939,3.305,164.804
me_f1_247_u,me,nx,e,m,22.05,25.253,55.104,38.248,666.325,5.024,213.885
me_f1_247_v,me,nx,e,m,19.8,18.885,71.483,41.611,755.424,6.705,155.614
me_f1_245_n,me,nx,c,f,26.52,23.368,68.349,44.050,651.557,6.016,164.565
me_f1_246_q,me,nx,d,f,17.89,40.034,48.764,49.761,866.670,4.926,179.623
me_f1_246_r,me,nx,d,f,18.37,28.482,35.728,40.641,845.970,3.607,210.672
