bodymass,coxmasseter,coxplantaris,coxrecfem,coxpecmajor,coxintercostals,coxdiap,coxsemi,coxglutmax,coxlowertrap,coxsoleus,coxbicepsfemoris,coxvmed,coxbicepsbrachii,coxmedtrap,coxgastroc,coxerectorspinae,coxedl,coxvlat,coxta,coxtriceps,hoadmasseter,hoadplantaris,hoadrecfem,hoadpecmajor,hoadintercostals,hoaddiap,hoadsemi,hoadglutmax,hoadlowertrap,hoadsoleus,hoadbicepsfemoris,hoadvmed,hoadbicepsbrachii,hoadmedtrap,hoadgastroc,hoaderectorspinae,hoadedl,hoadvlat,hoadta,hoadtriceps,hkmasseter,hkplantaris,hkrecfem,hkpecmajor,hkintercostals,hkdiap,hksemi,hkglutmax,hklowertrap,hkbicepsfemoris,hkvmed,hkbicepsbrachii,hkmedtrap,hkgastroc,hkerectorspinae,hkedl,hkvlat,hkta,hktriceps,ldhmasseter,ldhplantaris,ldhrecfem,ldhpecmajor,ldhintercostals,ldhdiap,ldhsemi,ldhglutmax,ldhlowertrap,ldhsoleus,ldhbicepsfemoris,ldhvmed,ldhbicepsbrachii,ldhmedtrap,ldhgastroc,ldherectorspinae,ldhedl,ldhvlat,ldhta,ldhtriceps,csmasseter,csplantaris,csrecfem,cspecmajor,csintercostals,csdiap,cssemi,csglutmax,cslowertrap,cssoleus,csbicepsfemoris,csvmed,csbicepsbrachii,csmedtrap,csgastroc,cserectorspinae,csedl,csvlat,csta,cstriceps,pkmasseter,pkplantaris,pkrecfem,pkpecmajor,pkintercostals,pkdiap,pksemi,pkglutmax,pklowertrap,pksoleus,pkbicepsfemoris,pkvmed,pkbicepsbrachii,pkmedtrap,pkgastroc,pkerectorspinae,pkedl,pkvlat,pkta,pktriceps
19.98,32.94,33.707,34.19,42.712,19.506,40.696,20.393,25.933,28.327,14.819,29.535,32.874,25.142,19.645,51.541,74.41851533,26.128,10.471,39.231,15.195,35.757,32.988,50.118,62.019,36.736,117.391,39.418,25.226,34.422,60.424,48.269,36.886,32.393,43.777,44.114,19.929,23.217,8.463,15.019,14.564,7.614,4.615,4.04,4.545,5.19,13.126,3.454,3.221,5.652,4.199,4.749,4.625,4.904,6.231,19.55709644,17.66,1.548,16.513,11.896,381.302,287.47,766.996,712.507,411.846,434.487,677.507,647.643,499.04,194.724,647.764,578.967,454.599,360.874,545.898,210.159,102.0892257,354.339,233.603,166.943,20.108,40.229,37.066,7.309,11.724,34.831,11.374,33.571,31.81,34.905,44.645,51.649,49.364,28.422,18.925,20.449,11.71883412,6.859,23.401,9.249,57.797,82.118,119.808,121.321,103.767,84.576,212.326,171.154,100.088,70.863,172.653,117.121,98.941,122.748,176.786,95.621,9.541969173,79.442,100.034,86.743
20.47,42.189,21.12,34.158,39.386,34.098,55.354,31.285,17.721,29.377,42.035,29.314,18.81,41.651,35.462,78.079,24.887,19.307,27.713,17.739,14.472,38.693,23.11,60.823,99.733,53.203,121.529,36.144,35.212,54.509,34.082,56.03,24.431,50.218,102.907,38.357,20.952,12.654,7.834,13.624,14.962,7.293,2.771,3.655,6.507,10.489,13,4.854,5.334,9.911,6.954,4.188,5.081,8.143,4.622,10.487,36.655,3.142,17.643,9.582,308.079,484.498,614.833,589.248,711.936,284.854,786.744,796.661,539.809,173.781,767.836,562.415,434.652,387.439,530.307,224.255,105.651,261.745,155.657,177.912,48.955,27.454,33.553,7.817,24.043,30.492,13.369,45.503,38.961,48.518,71.592,30.457,69.183,53.784,21.348,18.072,13.538,3.003,25.754,3.603,86.615,104.029,148.2,158.725,126.18,62.327,140.755,177.796,97.154,103.975,192.717,110.915,117.22,128.716,153.165,89.285,80.035,103.947,112.151,94.911
17.94,43.647,23.377,18.877,40.039,29.73,53.838,32.036,25.862,35.155,13.627,30.227,37.55015486,29.278,20.885,43.251,29.018,99.315,20.225,20.858,25.798,54.294,16.545,30.71,51.888,44.338,87.612,29.847,28.949,34.257,18.542,60.087,52.58231002,39.766,51.47,24.903,31.068,14.577,6.919,24.724,4.534,7.648,2.975,4.621,5.187,6.751,12.296,3.383,3.172,5.852,4.465,6.43497745,6.331,6.543,4.56,15.794,23.862,1.394,19.358,7.7,368.748,319.352,628.631,635.326,655.654,343.933,545.595,672.414,411.621,95.101,681.006,302.7525981,393.095,401.306,495.757,225.413,81.10643464,724.655,160.787,203.16,29.811,25.498,33.166,5.659,19.951,25.285,10.286,31.242,17.967,21.522,32.753,44.61281873,65.479,48.091,11.333,18.965,10.64969348,4.79,10.595,3.101,98.111,117.331,197.71,139.829,171.795,78.532,156.811,138.341,109.367,39.138,199.839,155.8212585,144.068,117.556,165.711,131.224,79.19347535,162.415,72.837,134.025
19.23,48.632,12.874,27.308,37.01,43.113,80.55,36.974,13.002,32.264,15.498,28.145,17.496,30.032,36.799,32.22,25.07,53.383,20.28544266,22.497,14.472,44.531,26.689,53.866,79.612,61.75,140.285,23.706,32.187,54.2,30.222,37.962,22.99,41.122,113.936,26.278,29.483,10.09,15.91039554,8.237,33.333,7.683,5.179,4.19,6.66,8.027,12.969,0.763,3.324,6.859,5.549,5.205,4.757,6.79,6.647,7.467,24.884,5.378723162,20.618,6.106,402.644,235.034,505.536,656.339,665.623,293.602,693.08,753.302,437.683,74.522,737.357,187.223,321.803,364.937,392.454,403.456,26.692,504.1447661,136.303,324.103,34.162,27.84,29.757,8.09,22.016,28.251,9.292,28.543,28.592,29.622,22.037,34.359,46.177,52.191,25.148,10.525,2.897,9.379791156,23.381,22.492,93.61,101.387,124.145,111.79,121.581,79,153.529,165.096,123.903,62.154,117.957,96.767,116.688,136.801,131.076,219.838,30.505,159.0189787,145.822,189.636
19.3,68.609,26.059,35.592,30.405,32.472,82.632,50.15,35.709,39.847,26.069,29.189,26.043,26.527,47.183,59.324,32.929,16.043,20.18,39.271,89.135,54.464,43.529,52.823,62.499,59.949,134.948,26.608,39.794,144.184,43.287,48.298,32.706,43.635,66.374,41.659,40.392,5.846,12.209,84.474,15.92,7.367,5.887,4.298,4.924,6.377,12.362,4.508,5.165,9.477,5.078,3.435,5.022,6.555,5.769,10.796,14.707,4.635,9.263,21.342,329.889,452.347,788.259,646.872,681.534,460.575,794.608,748.322,561.558,294.823,635.118,313.151,391.345,407.083,575.442,382.281,194.505,403.739,192.695,276.528,50.827,62.786,39.911,9.265,21.798,37.199,15.172,40.843,43.7,44.469,56.108,32.833,59.024,44.897,36.907,19.718,20.814,10.349,18.758,7.551,95.777,145.142,99.56,138.551,133.192,88.824,188.1,136.899,109.276,106.303,145.333,92.769,125.349,117.268,169.039,161.989,132.124,138.124,185.301,173.292
14.04,34.525,18.955,16.714,13.101,28.853,56.083,25.981,9.456,22.336,15.043,10.037,27.941,26.561,30.51,31.572,26.01,33.028,20.182,47.52,32.501,36.21,17.004,21.294,34.993,48.939,78.067,36.031,23.323,36.857,7.024,34.881,32.676,31.746,30.956,21.686,17.487,13.733,6.604,65.142,18.475,8.372,3.731,3.598,3.071,6.294,9.486,2.617,2.861,5.358,4.762,3.465,4.65,6.862,3.65,18.89,29.882,2.113,11.368,6.99,295.425,530.264,794.617,495.316,1017.378,401.453,734.394,819.033,634.521,80.931,622.49,616.28,483.848,591.682,574.991,183.046,49.108,675.095,247.201,209.931,30.692,23.29,23.358,5.748,21.509,23.689,6.949,23.565,30.945,18.005,28.687,42.967,39.388,37.212,12.631,6.155,4.674,5.929,15.54,12.139,68.955,174.814,119.336,105.209,180.758,80.687,151.599,151.093,106.101,40.277,192.227,164.42,103.046,154.849,123.955,131.154,106.136,123.37,130.951,99.696
14.05,55.386,15.41550677,17.77,22.833,33.322,58.754,22.856,12.473,20.542,12.558,10.438,17.838,28.896,49.386,30.451,40.356,8.438,17.023,42.463,25.842,47.319,4.844970496,44.685,62.309,68.644,129.292,29.7,28.297,51.854,19.59,37.121,23.154,44.258,115.627,16.474,18.007,8.168,8.916,10.801,15.161,7.696,1.892848341,3.56,5.914,10.04,12.199,2.051,3.529,6.569,4.68,4.036,5.671,9.279,3.277,6.979,38.309,3.079,11.017,7.425,327.165,45.56943076,716.509,819.942,709.199,473.662,666.767,863.561,646.361,409.898,712.897,611.551,631.879,690.395,524.721,346.709,62.379,783.327,339.886,347.796,42.36,11.89573294,20.627,5.247,17.607,29.946,10.434,28.71,22.627,20.858,27.644,31.476,57.791,53.555,12.77,11.45,6.511,3.593,10.477,18.825,82.235,89.32789194,84.691,131.613,185.671,103.821,187.193,197.591,123.669,124.288,91.063,102.394,116.112,132.568,157.249,131.704,79.169,144.497,141.063,201.216
20.18,26.977,36.599,34.96,35.436,48.922,76.677,35.345,26.377,38.381,27.65,23.845,31.991,26.004,20.468,40.88,40.801,28.946,24.391,32.3,37.622,56.093,50.85,60.525,70.864,68.351,182.631,49.335,51.684,71.71,49.513,57.051,52.9,47.956,51.689,33.874,37.226,12.057,14.661,68.485,27.524,7.125,6.898,6.186,7.055,10.791,15.639,4.387,5.725,9.371,8.02,5.606,6.266,7.162,6.613,28.637,26.079,4.525,26.079,26.463,390.999,345.847,688.074,580.318,767.732,426.493,574.307,589.386,514.449,178.865,673.704,317.135,462.619,407.862,553.806,482.328,72.987,273.967,168.699,153.594,51.072,54.324,41.14,5.435,22.713,34.072,12.075,39.046,25.996,34.772,38.075,55.764,58.741,37.078,33.899,10.109,8.567,5.382,13.576,6.048,94.274,106.63,104.421,107.1,114.061,82.811,125.908,128.396,93.35,86.055,115.627,87.142,91.957,109.949,144.159,168.082,58.412,56.528,76.653,95.859
17.17,53.772,48.508,27.324,27.591,60.643,90.417,29.921,27.565,17.156,48.437,16.869,35.718,26.828,24.858,50.803,18.676,12.609,24.726,33.149,61.201,63.422,45.533,38.855,78.826,80.685,123.045,33.996,59.621,33.166,62.591,53.352,60.496,50.424,63.301,23.868,15.971,6.288,9.173,24.373,7.414,8.914,5.898,5.329,6.172,12.215,15.783,3.733,6.081,5.775,4.485,5.431,6.092,6.87,4.278,18.13,23.602,3.751,23.602,5.398,351.693,472.354,448.042,786.371,1036.086,345.405,781.365,798.436,680.608,285.018,636.391,463.061,397.01,336.458,453.542,298.151,25.809,436.219,283.983,68.286,53.667,58.258,28.662,7.248,33.463,27.881,9.8,44.377,12.529,55.797,35.7,54.849,24.645,44.832,31.733,13.54,1.159,3.057,36.674,4.2,98.343,135.067,116.688,177.709,134.95,60.77,173.417,153.403,94.794,103.349,156.222,102.539,67.801,115.763,150.324,117.37,60.664,150.142,172.339,130.288
19.14,51.602,41.533,25.054,14.867,51.328,85.121,27.642,30.958,33.49,17.2630517,11.539,35.541,29.095,23.484,40.739,32.771,21.431,28.01,16.046,24.168,57.85,55.638,50.6,50.382,63.838,149.789,36.707,46.248,50.359,51.60383052,43.212,39.844,48.759,44.342,31.298,24.009,30.228,16.65,29.271,10.632,7.953,6.136,4.812,3.872,7.861,14.821,3.495,4.062,9.88,4.973,5.153,5.519,5.118,5.076,8.263,25.993,3.741,25.993,4.35,310.916,621.702,600.62,226.589,573.129,313.436,461.588,498.364,440.827,20.12957669,596.662,289.011,367.916,255.024,434.054,353.909,11.199,351.542,164.002,77.112,54.134,41.751,33.164,3.966,24.675,31.85,9.274,35.167,41.604,28.74329754,38.115,38.09,38.457,26.767,23.021,12.243,1.826,8.263,5.57,9.152,92.111,122.365,96.548,72.177,106.597,73.225,183.36,127.164,99.343,36.14183178,142.687,100.519,107.981,96.095,132.228,187.583,76.878,152.013,129.015,66.424
