id,pop,acc,fam,sex,bodymass,cox,hoad,cs,ldh,hk,pk
ln_f1_249_1e,ln,hx,f,f,19.98,19.50648067,36.73596267,11.723566,411.8464,5.1896544,103.767104
ln_f1_249_2f,ln,hx,f,f,20.47,34.09770067,53.20332267,24.0428175,711.935616,10.48887467,126.1804693
ln_f1_242_2b,ln,hx,a,m,17.94,29.73026067,44.338448,19.95076017,655.654272,6.7506432,171.7953813
ln_f1_242_3c,ln,hx,a,m,19.23,43.112872,61.74989333,22.01560517,665.6234667,8.027323733,121.5813013
ln_f1_250_l,ln,hx,g,m,19.3,32.4722,59.94941867,21.798227,681.534336,6.377339733,133.1918187
ln_f1_250_o,ln,hx,g,f,14.04,28.85299133,48.93869867,21.50904967,1017.377536,6.2939744,180.757696
ln_f1_250_m,ln,hx,g,f,14.05,33.321582,68.64431467,17.60713633,709.1986347,10.039568,185.6708373
me_f1_244_a,me,hx,b,f,20.18,48.92194533,68.350912,22.71279983,767.7319253,10.7911552,114.0610987
me_f1_247_h,me,hx,e,f,17.17,60.64266067,80.68465067,33.46286817,1036.086016,12.2150784,134.9500693
me_f1_247_g,me,hx,e,f,19.14,51.32781867,63.83835733,24.67514533,573.129088,7.8608096,106.5971947
me_f1_246_e,me,hx,d,m,23.46,37.46403267,76.727504,24.65682417,692.8546987,9.429160533,153.474496
me_f1_246_f,me,hx,d,m,21.19,30.078616,56.300832,22.6731865,711.5891627,8.328738133,130.257792
me_f1_245_h,me,hx,c,m,24.55,36.83727667,83.113072,20.40680867,545.430144,8.2460224,121.741536
me_f1_245_i,me,hx,c,m,23.62,35.56013133,77.22011733,24.64840633,520.6067627,11.11227413,129.7013013
ln_f1_250_x,ln,nx,g,m,26.99,33.35088733,59.65060267,21.8413065,669.7202773,8.954952533,170.3662613
ln_f1_250_y,ln,nx,g,m,18.8,33.37641133,63.348992,18.76384567,620.056192,8.0206112,129.9026773
ln_f1_250_z,ln,nx,g,m,18.55,48.34860067,59.98839467,25.107921,776.4885333,7.3164448,144.971232
ln_f1_250_al,ln,nx,g,f,19.78,40.90031933,69.364288,18.40782083,745.1345067,11.33725227,184.2027413
ln_f1_250_ab,ln,nx,g,f,14.8,51.56793333,52.435712,17.74776367,887.5528107,8.339131733,126.191296
me_f1_247_u,me,nx,e,m,22.05,69.81523,67.285568,24.3622,639.933952,8.759639467,102.8143573
me_f1_247_v,me,nx,e,m,19.8,71.79806667,62.257664,20.47563683,698.4066133,9.630753067,128.283008
me_f1_245_n,me,nx,c,f,26.52,56.792318,80.33494933,22.1086965,656.5048149,9.2444576,117.0860693
me_f1_246_q,me,nx,d,f,17.89,30.55081,60.69754133,21.56153733,621.4679893,9.265461333,142.7409387
me_f1_246_r,me,nx,d,f,18.37,42.16233933,68.84677333,22.03838283,694.344448,7.8289792,143.5897493
