id,pop,acc,fam,sex,bodymass,cox,hoad,cs,ldh,hk,pk
ln_f1_249_1e,ln,hx,f,f,19.98,32.940,35.757,20.108,381.302,7.614,57.797
ln_f1_249_2f,ln,hx,f,f,20.47,42.189,38.693,48.955,308.079,7.293,86.615
ln_f1_242_2b,ln,hx,a,m,17.94,43.647,54.294,29.811,368.748,7.648,98.111
ln_f1_242_3c,ln,hx,a,m,19.23,48.632,44.531,34.162,402.644,7.683,93.610
ln_f1_250_l,ln,hx,g,m,19.3,68.609,54.464,50.827,329.889,7.367,95.777
ln_f1_250_o,ln,hx,g,f,14.04,34.525,36.210,30.692,295.425,8.372,68.955
ln_f1_250_m,ln,hx,g,f,14.05,55.386,47.319,42.360,327.165,7.696,82.235
me_f1_244_a,me,hx,b,f,20.18,26.977,56.093,51.072,390.999,7.125,94.274
me_f1_247_h,me,hx,e,f,17.17,53.772,63.422,53.667,351.693,8.914,98.343
me_f1_247_g,me,hx,e,f,19.14,51.602,57.850,54.134,310.916,7.953,92.111
me_f1_246_e,me,hx,d,m,23.46,47.446,48.343,49.039,388.855,7.204,78.454
me_f1_246_f,me,hx,d,m,21.19,50.797,51.229,37.667,365.586,7.437,112.344
me_f1_245_h,me,hx,c,m,24.55,39.889,47.557,38.728,330.655,7.754,77.868
me_f1_245_i,me,hx,c,m,23.62,42.637,46.326,45.080,257.922,8.432,72.718
ln_f1_250_x,ln,nx,g,m,26.99,40.973,52.587,48.361,328.983,6.290,80.033
ln_f1_250_y,ln,nx,g,m,18.8,44.796,62.707,45.206,396.542,9.114,98.629
ln_f1_250_z,ln,nx,g,m,18.55,60.061,47.251,64.163,418.451,7.789,85.916
ln_f1_250_al,ln,nx,g,f,19.78,50.936,64.056,42.263,426.527,9.227,95.372
ln_f1_250_ab,ln,nx,g,f,14.8,45.462,47.873,57.418,388.513,9.428,80.949
me_f1_247_u,me,nx,e,m,22.05,66.338,61.699,26.395,341.551,9.458,78.649
me_f1_247_v,me,nx,e,m,19.8,44.299,60.528,58.692,217.555,8.948,71.610
me_f1_245_n,me,nx,c,f,26.52,48.458,65.350,53.385,371.649,8.885,85.279
me_f1_246_q,me,nx,d,f,17.89,25.498,37.891,28.741,224.415,5.651,69.789
me_f1_246_r,me,nx,d,f,18.37,24.716,36.603,41.432,226.399,6.698,47.804
