id,pop,acc,fam,sex,bodymass,cox,hoad,cs,ldh,hk,pk
ln_f1_249_1e,ln,hx,f,f,19.98,19.645,43.777,28.422,360.874,4.904,122.748
ln_f1_249_2f,ln,hx,f,f,20.47,35.462,102.907,53.784,387.439,8.143,128.716
ln_f1_242_2b,ln,hx,a,m,17.94,20.885,51.470,48.091,401.306,6.543,117.556
ln_f1_242_3c,ln,hx,a,m,19.23,36.799,113.936,52.191,364.937,6.790,136.801
ln_f1_250_l,ln,hx,g,m,19.3,47.183,66.374,44.897,407.083,6.555,117.268
ln_f1_250_o,ln,hx,g,f,14.04,30.510,30.956,37.212,591.682,6.862,154.849
ln_f1_250_m,ln,hx,g,f,14.05,49.386,115.627,53.555,690.395,9.279,132.568
me_f1_244_a,me,hx,b,f,20.18,20.468,51.689,37.078,407.862,7.162,109.949
me_f1_247_h,me,hx,e,f,17.17,24.858,63.301,44.832,336.458,6.870,115.763
me_f1_247_g,me,hx,e,f,19.14,23.484,44.342,26.767,255.024,5.118,96.095
me_f1_246_e,me,hx,d,m,23.46,29.420,101.680,76.581,489.253,7.377,127.415
me_f1_246_f,me,hx,d,m,21.19,28.172,64.958,39.051,393.121,7.078,133.629
me_f1_245_h,me,hx,c,m,24.55,41.820,155.163,59.920,340.858,8.870,107.303
me_f1_245_i,me,hx,c,m,23.62,33.943,82.963,65.210,257.935,8.411,75.548
ln_f1_250_x,ln,nx,g,m,26.99,28.445,50.669,45.672,582.986,5.080,147.195
ln_f1_250_y,ln,nx,g,m,18.8,31.082,50.556,44.074,523.725,6.721,129.394
ln_f1_250_z,ln,nx,g,m,18.55,27.169,49.868,42.084,523.924,7.126,86.418
ln_f1_250_al,ln,nx,g,f,19.78,28.199,62.132,37.187,508.516,8.228,112.307
ln_f1_250_ab,ln,nx,g,f,14.8,20.803,46.650,38.607,511.798,7.812,123.762
me_f1_247_u,me,nx,e,m,22.05,31.562,60.727,32.504,491.383,7.064,130.160
me_f1_247_v,me,nx,e,m,19.8,33.253,60.272,38.671,436.141,7.034,137.425
me_f1_245_n,me,nx,c,f,26.52,27.377,62.673,47.507,404.207,7.515,168.030
me_f1_246_q,me,nx,d,f,17.89,26.942,63.773,29.288,395.156,6.723,127.179
me_f1_246_r,me,nx,d,f,18.37,61.733,193.752,63.445,578.568,6.584,125.299
