id,pop,acc,fam,sex,bodymass,cox,hoad,cs,ldh,hk,pk
ln_f1_249_1e,ln,hx,f,f,19.98,42.712,62.019,7.309,712.507,4.545,121.321
ln_f1_249_2f,ln,hx,f,f,20.47,39.386,99.733,7.817,589.248,6.507,158.725
ln_f1_242_2b,ln,hx,a,m,17.94,40.039,51.888,5.659,635.326,5.187,139.829
ln_f1_242_3c,ln,hx,a,m,19.23,37.010,79.612,8.090,656.339,6.660,111.790
ln_f1_250_l,ln,hx,g,m,19.3,30.405,62.499,9.265,646.872,4.924,138.551
ln_f1_250_o,ln,hx,g,f,14.04,13.101,34.993,5.748,495.316,3.071,105.209
ln_f1_250_m,ln,hx,g,f,14.05,22.833,62.309,5.247,819.942,5.914,131.613
me_f1_244_a,me,hx,b,f,20.18,35.436,70.864,5.435,580.318,7.055,107.100
me_f1_247_h,me,hx,e,f,17.17,27.591,78.826,7.248,786.371,6.172,177.709
me_f1_247_g,me,hx,e,f,19.14,14.867,50.382,3.966,226.589,3.872,72.177
me_f1_246_e,me,hx,d,m,23.46,37.009,68.061,8.315,705.007,6.425,123.619
me_f1_246_f,me,hx,d,m,21.19,40.206,76.294,6.750,588.234,7.795,106.928
me_f1_245_h,me,hx,c,m,24.55,34.580,85.703,7.291,586.251,6.818,130.147
me_f1_245_i,me,hx,c,m,23.62,30.026,77.439,8.026,465.858,6.866,116.125
ln_f1_250_x,ln,nx,g,m,26.99,23.566,46.890,5.593,741.289,3.549,136.191
ln_f1_250_y,ln,nx,g,m,18.8,34.055,59.936,6.900,593.648,6.804,126.077
ln_f1_250_z,ln,nx,g,m,18.55,20.938,44.203,4.709,773.492,3.810,120.007
ln_f1_250_al,ln,nx,g,f,19.78,21.471,53.334,3.495,655.446,3.700,144.547
ln_f1_250_ab,ln,nx,g,f,14.8,24.011,59.797,7.221,768.182,7.274,124.678
me_f1_247_u,me,nx,e,m,22.05,21.975,73.352,5.913,706.055,5.525,151.513
me_f1_247_v,me,nx,e,m,19.8,21.054,59.959,7.207,675.974,5.319,113.933
me_f1_245_n,me,nx,c,f,26.52,29.528,81.423,6.231,525.145,7.758,112.528
me_f1_246_q,me,nx,d,f,17.89,15.229,64.938,6.137,440.126,4.748,75.533
me_f1_246_r,me,nx,d,f,18.37,25.079,94.140,7.650,615.128,6.120,119.923
