id,pop,acc,fam,sex,bodymass,cox,hoad,cs,ldh,hk,pk
ln_f1_249_1e,ln,hx,f,f,19.98,33.707,32.988,40.229,287.470,4.615,82.118
ln_f1_249_2f,ln,hx,f,f,20.47,21.120,23.110,27.454,484.498,2.771,104.029
ln_f1_242_2b,ln,hx,a,m,17.94,23.377,16.545,25.498,319.352,2.975,117.331
ln_f1_242_3c,ln,hx,a,m,19.23,12.874,26.689,27.840,235.034,5.179,101.387
ln_f1_250_l,ln,hx,g,m,19.3,26.059,43.529,62.786,452.347,5.887,145.142
ln_f1_250_o,ln,hx,g,f,14.04,18.955,17.004,23.290,530.264,3.731,174.814
ln_f1_250_m,ln,hx,g,f,14.05,,,,,,
me_f1_244_a,me,hx,b,f,20.18,36.599,50.850,54.324,345.847,6.898,106.630
me_f1_247_h,me,hx,e,f,17.17,48.508,45.533,58.258,472.354,5.898,135.067
me_f1_247_g,me,hx,e,f,19.14,41.533,55.638,41.751,621.702,6.136,122.365
me_f1_246_e,me,hx,d,m,23.46,54.518,57.866,74.900,509.286,8.161,139.402
me_f1_246_f,me,hx,d,m,21.19,60.839,53.266,61.938,576.386,8.787,132.040
me_f1_245_h,me,hx,c,m,24.55,40.185,57.781,49.897,513.123,7.060,138.389
me_f1_245_i,me,hx,c,m,23.62,51.178,60.784,76.057,478.937,7.201,118.660
ln_f1_250_x,ln,nx,g,m,26.99,29.081,18.603,26.269,427.238,4.392,114.111
ln_f1_250_y,ln,nx,g,m,18.8,28.278,45.576,58.233,658.677,6.138,146.186
ln_f1_250_z,ln,nx,g,m,18.55,42.484,34.088,41.325,667.512,5.330,166.729
ln_f1_250_al,ln,nx,g,f,19.78,11.741,15.400,21.819,138.547,0.927,56.522
ln_f1_250_ab,ln,nx,g,f,14.8,17.019,35.929,52.226,681.954,4.817,181.206
me_f1_247_u,me,nx,e,m,22.05,32.013,25.284,40.858,311.687,5.973,124.275
me_f1_247_v,me,nx,e,m,19.8,17.927,9.641,14.804,109.410,4.066,39.699
me_f1_245_n,me,nx,c,f,26.52,35.645,51.008,47.286,429.429,7.538,144.259
me_f1_246_q,me,nx,d,f,17.89,15.252,24.731,44.635,288.890,5.524,112.981
me_f1_246_r,me,nx,d,f,18.37,22.513,42.753,37.541,488.170,4.120,142.964
