id,pop,acc,fam,sex,bodymass,cox,hoad,cs,ldh,hk,pk
ln_f1_249_1e,ln,hx,f,f,19.98,34.190,50.118,37.066,766.996,4.040,119.808
ln_f1_249_2f,ln,hx,f,f,20.47,34.158,60.823,33.553,614.833,3.655,148.200
ln_f1_242_2b,ln,hx,a,m,17.94,18.877,30.710,33.166,628.631,4.621,197.710
ln_f1_242_3c,ln,hx,a,m,19.23,27.308,53.866,29.757,505.536,4.190,124.145
ln_f1_250_l,ln,hx,g,m,19.3,35.592,52.823,39.911,788.259,4.298,99.560
ln_f1_250_o,ln,hx,g,f,14.04,16.714,21.294,23.358,794.617,3.598,119.336
ln_f1_250_m,ln,hx,g,f,14.05,17.770,44.685,20.627,716.509,3.560,84.691
me_f1_244_a,me,hx,b,f,20.18,34.960,60.525,41.140,688.074,6.186,104.421
me_f1_247_h,me,hx,e,f,17.17,27.324,38.855,28.662,448.042,5.329,116.688
me_f1_247_g,me,hx,e,f,19.14,25.054,50.600,33.164,600.620,4.812,96.548
me_f1_246_e,me,hx,d,m,23.46,35.399,53.064,44.168,690.585,5.311,115.293
me_f1_246_f,me,hx,d,m,21.19,40.414,47.728,38.298,758.300,5.208,116.692
me_f1_245_h,me,hx,c,m,24.55,22.669,80.560,31.657,417.598,4.973,101.769
me_f1_245_i,me,hx,c,m,23.62,42.353,51.080,48.975,590.790,7.113,93.367
ln_f1_250_x,ln,nx,g,m,26.99,28.619,48.345,40.138,729.310,3.890,100.809
ln_f1_250_y,ln,nx,g,m,18.8,33.606,44.919,37.060,612.469,4.587,183.090
ln_f1_250_z,ln,nx,g,m,18.55,27.479,45.592,33.298,711.953,4.150,131.607
ln_f1_250_al,ln,nx,g,f,19.78,22.770,48.158,25.144,638.661,3.300,194.430
ln_f1_250_ab,ln,nx,g,f,14.8,25.673,59.183,31.714,950.425,4.626,165.289
me_f1_247_u,me,nx,e,m,22.05,33.784,64.617,36.988,583.263,4.397,142.912
me_f1_247_v,me,nx,e,m,19.8,29.676,47.824,38.207,709.736,6.331,59.425
me_f1_245_n,me,nx,c,f,26.52,38.883,108.785,52.477,607.090,7.238,169.563
me_f1_246_q,me,nx,d,f,17.89,29.569,68.653,47.039,637.838,6.090,88.094
me_f1_246_r,me,nx,d,f,18.37,31.249,61.463,38.651,823.485,4.572,138.694
