id,pop,acc,fam,sex,bodymass,cox,hoad,cs,ldh,hk,pk
ln_f1_249_1e,ln,hx,f,f,19.980,20.393,39.418,11.374,677.507,3.454,212.326
ln_f1_249_2f,ln,hx,f,f,20.470,31.285,36.144,13.369,786.744,4.854,140.755
ln_f1_242_2b,ln,hx,a,m,17.940,32.036,29.847,10.286,545.595,3.383,156.811
ln_f1_242_3c,ln,hx,a,m,19.230,36.974,23.706,9.292,693.080,0.763,153.529
ln_f1_250_l,ln,hx,g,m,19.300,50.150,26.608,15.172,794.608,4.508,188.100
ln_f1_250_o,ln,hx,g,f,14.040,25.981,36.031,6.949,734.394,2.617,151.599
ln_f1_250_m,ln,hx,g,f,14.050,22.856,29.700,10.434,666.767,2.051,187.193
me_f1_244_a,me,hx,b,f,20.180,35.345,49.335,12.075,574.307,4.387,125.908
me_f1_247_h,me,hx,e,f,17.170,29.921,33.996,9.800,781.365,3.733,173.417
me_f1_247_g,me,hx,e,f,19.140,27.642,36.707,9.274,461.588,3.495,183.360
me_f1_246_e,me,hx,d,m,23.460,31.813,34.671,10.547,720.389,4.639,153.288
me_f1_246_f,me,hx,d,m,21.190,45.041,52.955,14.355,699.515,5.331,215.104
me_f1_245_h,me,hx,c,m,24.550,21.269,35.797,11.861,643.935,3.950,136.256
me_f1_245_i,me,hx,c,m,23.620,36.041,38.283,18.408,458.418,4.981,162.205
ln_f1_250_x,ln,nx,g,m,26.990,37.301,34.238,13.065,605.938,3.013,177.954
ln_f1_250_y,ln,nx,g,m,18.800,28.114,47.811,14.602,831.479,5.686,165.730
ln_f1_250_z,ln,nx,g,m,18.550,32.201,26.608,12.069,723.377,2.528,194.763
ln_f1_250_al,ln,nx,g,f,19.780,40.220,26.209,9.820,622.057,4.286,179.534
ln_f1_250_ab,ln,nx,g,f,14.800,23.591,29.570,11.119,808.111,3.599,192.323
me_f1_247_u,me,nx,e,m,22.050,44.475,41.843,13.799,678.104,3.411,168.840
me_f1_247_v,me,nx,e,m,19.800,33.660,41.462,13.429,624.153,3.889,210.685
me_f1_245_n,me,nx,c,f,26.520,37.074,49.023,14.203,435.570,6.781,147.658
me_f1_246_q,me,nx,d,f,17.890,32.896,32.835,13.235,682.591,5.119,144.213
me_f1_246_r,me,nx,d,f,18.370,22.017,37.417,9.829,749.283,3.209,136.018
