id,pop,acc,fam,sex,bodymass,cox,hoad,cs,ldh,hk,pk
ln_f1_249_1e,ln,hx,f,f,19.98,39.23133333,15.018752,23.40058633,233.602656,16.512832,100.0340693
ln_f1_249_2f,ln,hx,f,f,20.47,17.73918,13.62427733,25.7541135,155.657152,17.643136,112.1512747
ln_f1_242_2b,ln,hx,a,m,17.94,20.85783467,24.723776,10.594586,160.7868267,19.35808,72.83748267
ln_f1_242_3c,ln,hx,a,m,19.23,22.49704267,8.236928,23.38077967,136.3034027,20.618304,145.822208
ln_f1_250_l,ln,hx,g,m,19.3,39.27103733,84.473984,18.75790367,192.6951787,9.263296,185.3005653
ln_f1_250_o,ln,hx,g,f,14.04,47.520016,65.141888,15.54031067,247.2009493,11.368,130.9506987
ln_f1_250_m,ln,hx,g,f,14.05,42.463428,10.80068267,10.47673633,339.8858773,11.017216,141.0628053
me_f1_244_a,me,hx,b,f,20.18,32.30014933,68.48516267,13.57647967,168.6989547,26.07927467,76.6528
me_f1_247_h,me,hx,e,f,17.17,33.14905867,24.372992,36.674024,283.9834667,23.60213333,172.33888
me_f1_247_g,me,hx,e,f,19.14,16.046088,29.270976,5.569634667,164.0023467,25.99266133,129.0148907
me_f1_246_e,me,hx,d,m,23.46,90.820064,38.28309333,42.292185,206.9387413,6.56096,160.8582827
me_f1_246_f,me,hx,d,m,21.19,38.047776,18.63918933,15.75620333,176.4984853,35.69335467,86.73026133
me_f1_245_h,me,hx,c,m,24.55,63.543416,21.17696,43.745004,241.3870293,20.358464,146.4155093
me_f1_245_i,me,hx,c,m,23.62,97.82120267,39.35709867,12.44353833,111.367424,15.59906133,49.291648
ln_f1_250_x,ln,nx,g,m,26.99,68.449696,28.77728,10.00236667,73.054016,33.56266667,59.75453867
ln_f1_250_y,ln,nx,g,m,18.8,34.77314133,15.226624,32.790927,262.2738347,10.53218133,140.8809173
ln_f1_250_z,ln,nx,g,m,18.55,36.79237333,12.84475733,20.80492267,178.12032,15.044736,149.8800427
ln_f1_250_al,ln,nx,g,f,19.78,7.6572,41.288576,10.16775233,137.3102827,7.050325333,85.08893867
ln_f1_250_ab,ln,nx,g,f,14.8,25.529672,17.227392,17.01887833,158.14512,25.16983467,103.6068693
me_f1_247_u,me,nx,e,m,22.05,23.59552,18.630528,33.643604,224.3956587,36.89728,144.4926933
me_f1_247_v,me,nx,e,m,19.8,33.878856,21.27223467,41.39593333,307.2499733,6.842453333,150.1442133
me_f1_245_n,me,nx,c,f,26.52,24.769624,12.121536,13.111023,60.2504,17.266368,72.80283733
me_f1_246_q,me,nx,d,f,17.89,24.406616,22.79662933,23.057931,195.802432,5.032234667,119.3921493
me_f1_246_r,me,nx,d,f,18.37,38.57905333,19.410048,16.6628535,169.1406827,14.628992,119.9204907
