id,pop,acc,fam,sex,bodymass,cox,hoad,cs,ldh,hk,pk
ln_f1_249_1e,ln,hx,f,f,19.98,15.195288,14.564032,9.248723,166.9428693,11.89634133,86.74325333
ln_f1_249_2f,ln,hx,f,f,20.47,14.472108,14.96245333,3.602832667,177.912448,9.5816,94.91089067
ln_f1_242_2b,ln,hx,a,m,17.94,25.79814667,4.534208,3.100733667,203.1602347,7.699925333,134.025472
ln_f1_242_3c,ln,hx,a,m,19.23,14.472108,33.33314133,22.49245067,324.1027627,6.10624,189.6355627
ln_f1_250_l,ln,hx,g,m,19.3,89.13548,15.91953067,7.551291667,276.528224,21.34152533,173.2916267
ln_f1_250_o,ln,hx,g,f,14.04,32.50056,18.474624,12.13851567,209.931232,6.989696,99.69627733
ln_f1_250_m,ln,hx,g,f,14.05,25.84163,15.161,18.82524633,347.79584,7.424928,201.2157653
me_f1_244_a,me,hx,b,f,20.18,37.622376,27.523552,6.047965667,153.5935893,26.46253867,95.85930667
me_f1_247_h,me,hx,e,f,17.17,61.20088,7.414101333,4.200003667,68.285952,5.398176,130.2881067
me_f1_247_g,me,hx,e,f,19.14,24.168392,10.63178667,9.151670333,77.11185067,4.350154667,66.42376533
me_f1_246_e,me,hx,d,m,23.46,43.203624,28.48279467,19.445195,150.889088,13.26699733,94.61640533
me_f1_246_f,me,hx,d,m,21.19,40.699436,15.389024,6.653059333,49.603456,8.581216,45.85742933
me_f1_245_h,me,hx,c,m,24.55,46.388452,15.01442133,18.04090233,169.1471787,9.670378667,84.331072
me_f1_245_i,me,hx,c,m,23.62,47.80078,15.5904,12.10187333,104.0096213,24.762752,118.2315307
ln_f1_250_x,ln,nx,g,m,26.99,50.35223467,6.6584,6.830329,130.8445973,5.997973333,104.637568
ln_f1_250_y,ln,nx,g,m,18.8,43.1072,7.808192,8.430707667,156.4020267,17.071488,131.93376
ln_f1_250_z,ln,nx,g,m,18.55,34.227684,17.103968,10.49852367,102.7818773,5.060384,98.38408533
ln_f1_250_al,ln,nx,g,f,19.78,61.237748,13.32113067,,,11.35717333,
ln_f1_250_ab,ln,nx,g,f,14.8,24.624988,18.81674667,6.249993667,121.44272,26.770016,95.17073067
me_f1_247_u,me,nx,e,m,22.05,41.246784,17.188416,18.3860335,298.7488747,31.414656,105.1139413
me_f1_247_v,me,nx,e,m,19.8,39.806096,43.529696,27.67684567,109.2064213,5.58656,109.873344
me_f1_245_n,me,nx,c,f,26.52,,34.07368533,15.440287,123.982656,,116.86304
me_f1_246_q,me,nx,d,f,17.89,,39.84213333,14.30041333,143.873408,,92.542016
me_f1_246_r,me,nx,d,f,18.37,48.109904,27.67296,8.694136333,143.8885653,2.023504,92.32548267
