id,pop,acc,fam,sex,bodymass,cox,hoad,cs,ldh,hk,pk
ln_f1_249_1e,ln,hx,f,f,19.98,10.470512,8.463205333,6.859048667,354.3394773,1.5479968,79.44174933
ln_f1_249_2f,ln,hx,f,f,20.47,27.713392,7.833959467,3.002690667,261.7454933,3.142331733,103.9468267
ln_f1_242_2b,ln,hx,a,m,17.94,20.224934,6.918673067,4.790242333,724.654784,1.393608533,162.4151573
ln_f1_242_3c,ln,hx,a,m,19.23,,,,,,
ln_f1_250_l,ln,hx,g,m,19.3,20.18003067,12.209232,10.34898333,403.739392,4.635329067,138.124448
ln_f1_250_o,ln,hx,g,f,14.04,20.182394,6.604050133,5.929125667,675.0946347,2.1131488,123.3698667
ln_f1_250_m,ln,hx,g,f,14.05,17.02309,8.9164096,3.592929333,783.326656,3.078670933,144.497024
me_f1_244_a,me,hx,b,f,20.18,24.391018,14.66125547,5.382461667,273.9666347,4.525330133,56.528192
me_f1_247_h,me,hx,e,f,17.17,24.725666,9.173434667,3.057159,436.219392,3.750573867,150.142048
me_f1_247_g,me,hx,e,f,19.14,28.009754,16.6498976,8.263341333,351.5418667,3.740829867,152.012896
me_f1_246_e,me,hx,d,m,23.46,22.264018,5.470065067,8.018729,362.5244373,5.331050667,118.655936
me_f1_246_f,me,hx,d,m,21.19,16.727437,11.06680213,8.955584333,371.70112,5.688114133,111.6575787
me_f1_245_h,me,hx,c,m,24.55,21.00767,14.56836267,8.445562667,409.5165013,9.777995733,88.33693867
me_f1_245_i,me,hx,c,m,23.62,17.410204,7.548352,5.456736667,409.157056,5.0090656,61.61022933
ln_f1_250_x,ln,nx,g,m,26.99,29.60784,9.772365867,5.623112667,513.612736,5.443864533,149.3603627
ln_f1_250_y,ln,nx,g,m,18.8,18.326232,8.3402144,6.797648,575.233792,5.395794133,148.056832
ln_f1_250_z,ln,nx,g,m,18.55,17.018836,8.9001696,6.251974333,491.279488,1.4102816,116.1246613
ln_f1_250_al,ln,nx,g,f,19.78,22.679492,6.5271808,3.370104333,448.9558827,3.889371733,140.040768
ln_f1_250_ab,ln,nx,g,f,14.8,16.034035,11.33205547,5.272534667,580.3439787,3.497229867,153.0154453
me_f1_247_u,me,nx,e,m,22.05,16.411932,7.7718144,5.227969667,361.931136,4.565605333,142.0588587
me_f1_247_v,me,nx,e,m,19.8,24.087566,11.57890347,5.61519,339.8620587,3.5994336,105.150752
me_f1_245_n,me,nx,c,f,26.52,13.954538,9.776913067,3.689982,296.9624747,4.8109376,92.70874667
me_f1_246_q,me,nx,d,f,17.89,15.515756,13.0524128,5.445843,402.219328,8.833044267,129.0603627
me_f1_246_r,me,nx,d,f,18.37,12.500379,9.237745067,6.373785333,575.8357547,3.2915232,147.192864
